aX,aY,aZ,gX,gY,gZ
-0.064,-0.044,0.858,4.150,-9.705,-4.456
-0.066,-0.040,0.833,6.775,-12.268,-6.409
-0.064,-0.049,0.806,10.010,-14.709,-8.545
-0.083,-0.071,0.782,11.658,-15.991,-11.780
-0.089,-0.117,0.757,11.658,-14.465,-16.724
-0.074,-0.164,0.737,11.108,-10.559,-22.217
-0.095,-0.179,0.732,12.451,-5.188,-28.625
-0.135,-0.212,0.753,16.357,-0.366,-36.621
-0.133,-0.251,0.753,24.353,3.418,-46.265
-0.120,-0.270,0.768,36.194,5.859,-55.908
-0.111,-0.255,0.804,47.546,4.761,-64.575
-0.058,-0.233,0.829,52.612,2.502,-72.266
0.039,-0.202,0.827,50.842,0.732,-76.233
0.099,-0.153,0.834,43.823,-1.282,-75.989
0.121,-0.132,0.829,37.415,-4.639,-75.439
0.131,-0.121,0.773,33.142,-10.010,-76.233
0.252,0.175,0.738,6.531,-10.559,-77.637
0.203,0.014,0.662,-38.330,-4.883,-82.947
0.253,0.088,0.594,-37.720,-8.423,-80.872
0.217,0.293,0.482,-37.537,-17.761,-74.219
0.306,0.497,0.369,-41.321,-35.400,-78.735
